record_id,pro1,pro2,pro3,pro4,pro5,pro6,pro7,pro8,pro9,pro10,ProAve,pre1,pre2,pre3,pre4,pre5,pre6,pre7,pre8,PreAVE,self1,self2,self3,self4,selfAVE,grit1,grit1R,grit2,grit3,grit3R,grit4,grit5,grit5R,grit6,grit7,grit7R,grit8,grit9,grit9R,grit10,grit11,grit12,grit12R,GritAve
1,2,2,2,2,2,2,2,2,2,2,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,5,3,3,4,3,3,4,3,4,4,3.60,2,2,3,2,2,3,3,2,2.38,3,3,3,4,3.25,3,3,3,2,4,3,2,4,3,2,4,3,3,`,3,4,3,3,3.36
4,2,2,2,1,2,3,2,1,3,3,2.10,4,4,4,5,4,3,4,5,4.13,4,5,3,2,3.50,4,2,5,2,4,5,3,3,4,2,4,5,2,4,5,5,3,3,4.08
5,2,2,3,2,2,2,3,2,2,2,2.20,4,4,4,4,4,4,4,4,4.00,3,4,2,2,2.75,2,4,2,2,4,4,2,4,4,2,4,4,2,6,4,4,2,4,4.00
6,3,2,3,3,2,2,3,2,2,2,2.40,3,3,2,3,2,3,3,3,2.75,2,3,3,3,2.75,3,3,4,2,4,4,3,3,4,3,3,4,3,3,4,4,3,3,3.58
7,2,2,3,2,2,2,3,2,2,2,2.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2,2,3,3,2,2,2,2,2,2,2.20,2,2,2,3,3,3,3,3,2.63,1,2,2,2,1.75,2,4,2,2,4,3,3,3,3,3,3,4,4,2,3,3,3,3,3.08
9,3,3,3,3,3,3,3,3,3,3,3.00,3,2,2,3,2,3,2,2,2.38,2,2,3,3,2.50,3,3,3,3,3,3,3,3,2,3,3,2,2,4,3,3,2,4,3.00
10,4,4,3,3,3,3,3,3,4,2,3.20,3,3,2,3,3,1,4,3,2.75,2,3,2,3,2.50,2,4,1,3,3,4,3,3,2,2,4,2,3,3,3,3,2,4,3.00
11,2,3,1,1,2,1,3,2,3,1,1.90,4,4,3,5,4,2,4,4,3.75,3,4,1,3,2.75,,,,,,,,,,,,,,,,,,,
12,2,3,3,2,1,1,1,3,1,3,2.00,3,3,2,2,3,3,2,4,2.75,3,4,2,3,3.00,4,2,2,4,2,3,,6,3,1,5,2,1,5,3,5,2,4,3.50
14,3,2,1,1,1,2,1,1,2,3,1.70,5,4,4,5,4,3,2,1,3.50,3,5,1,1,2.50,1,5,5,1,5,5,2,4,5,2,4,5,1,5,4,1,1,5,4.42
