Entity,ScienceScore,ReadingScore,MathScore,Reading10thPercentile,Reading90thPercentile,MathFemale,MathMale,ReadingFemale,ReadingMale,MinimumThres,AdvancedThres,HighProficient,AveProficient,LowProficient,ScienceLevel,ReadingLevel,MathLevel,GDPGroups,PopDenGroups,PopGroup
Algeria,375.75,349.86,359.61,258.22,443.28,363.07,356.50,366.21,335.19,51.31,0.00,0.35,20.68,78.97,Low,Low,Low,LowGDP,LowPopDen,MedHighPop
Argentina,432.23,425.30,409.03,308.86,538.49,400.44,418.39,432.96,416.97,70.86,2.09,7.36,50.89,41.75,Low,Low,Low,LowGDP,LowPopDen,MedHighPop
Australia,509.99,502.90,493.90,365.10,630.57,490.99,496.76,518.87,487.19,91.53,21.38,33.07,48.86,18.07,High,High,Average,HighGDP,LowPopDen,MedHighPop
Austria,495.04,484.87,496.74,346.64,611.23,483.13,510.10,495.08,474.85,88.51,23.35,26.99,50.47,22.54,Average,Average,Average,HighGDP,LowPopDen,LowMedPop
Brazil,400.68,407.35,377.07,279.17,539.48,369.55,385.04,418.56,395.46,63.31,1.66,7.81,41.20,50.99,Low,Low,Low,LowGDP,LowPopDen,HighPop
Chile,446.96,458.57,422.67,342.28,571.74,413.45,431.80,464.56,452.64,76.33,6.05,14.71,56.91,28.38,Average,Average,Low,LowGDP,LowPopDen,MedHighPop
China,517.78,493.94,531.30,346.42,629.83,528.19,534.01,502.56,486.40,91.63,38.27,31.75,46.36,21.89,High,Average,High,LowGDP,LowPopDen,HighPop
Colombia,415.73,424.91,389.64,307.60,542.39,384.49,395.39,432.28,416.68,65.59,1.12,8.01,49.15,42.84,Low,Low,Low,LowGDP,LowPopDen,HighPop
Costa Rica,419.61,427.49,400.25,326.34,530.13,392.31,408.45,434.87,419.86,67.97,1.46,5.88,53.81,40.31,Low,Low,Low,LowGDP,LowPopDen,LowMedPop
Croatia,475.39,486.86,464.04,366.68,603.44,457.96,470.60,499.59,473.14,84.11,13.31,24.91,55.22,19.87,Average,Average,Average,LowGDP,LowPopDen,LowPop
Czechia,492.83,487.25,492.33,352.15,614.30,488.67,495.79,500.65,474.55,88.64,22.40,27.17,50.81,22.02,Average,Average,Average,LowGDP,LowPopDen,MedHighPop
Dominican Republic,331.64,357.74,327.70,250.42,470.84,329.75,325.59,372.78,342.17,43.10,2.38,1.36,26.50,72.14,Low,Low,Low,LowGDP,HighPopDen,MedHighPop
Estonia,534.19,519.14,519.53,404.11,630.03,516.87,522.08,533.36,505.49,94.71,27.97,36.43,52.93,10.64,High,High,High,LowGDP,LowPopDen,LowPop
Finland,530.66,526.42,511.08,400.68,639.92,514.96,507.45,550.51,503.97,93.31,25.29,41.57,47.34,11.09,High,High,High,LowGDP,LowPopDen,LowMedPop
France,494.98,499.31,492.92,343.90,636.86,489.95,495.93,513.76,484.63,88.25,15.80,35.03,43.48,21.49,Average,Average,Average,LowGDP,LowPopDen,HighPop
Georgia,411.13,401.29,403.83,265.56,533.17,410.60,397.75,431.88,373.76,80.50,9.16,6.85,41.49,51.66,Low,Low,Low,LowGDP,LowPopDen,LowPop
Germany,509.14,509.10,505.97,375.20,633.55,497.53,514.12,519.67,498.90,91.69,22.91,35.22,48.55,16.23,High,High,High,HighGDP,HighPopDen,HighPop
Hong Kong,523.28,526.68,547.93,411.64,631.56,546.77,549.07,540.98,512.71,98.41,66.66,40.52,50.19,9.30,High,High,High,HighGDP,HighPopDen,LowMedPop
Hungary,476.75,469.52,476.83,337.50,592.50,472.74,480.91,481.96,457.14,91.35,29.40,21.03,51.49,27.48,Average,Average,Average,LowGDP,LowPopDen,LowMedPop
