Player,Team,Affiliation,Year,RoundNumber,OverallPick,POS,BODYFATGrp,HgtGrp,WEIGHTLBS,HgtNSIn,StRchIn,WSpanIn,LaneAgSec,ShRunSec,SprintSec,StVertIn,MaxLeapIn,MaxBPReps
Admiral Schofield,Philadelphia 76ers,Tennessee,2019,2,42,SF,3,1,240.6,76,102.5,81.75,10.77,2.87,3.37,30,34,15
Alize Johnson,Indiana Pacers,Missouri State,2018,2,50,PF,3,2,216.6,79.25,103,80.75,11.83,3.28,3.38,25,31,8
Allen Crabbe,Cleveland Cavaliers,California,2013,2,31,SG,1,1,197.4,77.25,103.5,83.25,10.67,3.1,3.32,30.5,36,10
Andre Roberson,Minnesota Timberwolves,Colorado,2013,1,26,PF,3,1,205.8,78.25,104.5,83,11.36,3.02,3.34,30,36.5,10
Anfernee Simons,Portland Trail Blazers,IMG Academy,2018,1,24,SG,3,1,183.2,74.25,99.5,81.25,11.27,3.16,3.1,32,41.5,1
Anthony Brown,Los Angeles Lakers,Stanford,2015,2,34,SF,2,1,211,77.75,104.5,83,10.94,3.29,3.18,27.5,34.5,4
Archie Goodwin,Oklahoma City Thunder,Kentucky,2013,1,29,SG,1,1,189,75.75,102,81.5,10.75,3.41,3.27,30,36,1
Ben McLemore,Sacramento Kings,Kansas,2013,1,7,SG,1,1,189.2,75.5,100.5,79.75,11.87,3.11,3.27,32.5,42,6
Bobby Portis,Chicago Bulls,Arkansas,2015,1,22,PF,3,2,246.2,81.5,108.5,86,11.78,3.28,3.56,25,31.5,5
Branden Dawson,New Orleans Pelicans,Michigan State,2015,2,56,PF,2,1,230.2,77.5,105,83,12.22,3.53,3.2,28.5,34.5,12
Brandon Clarke,Oklahoma City Thunder,Gonzaga,2019,1,21,SF,1,2,207.2,79.25,102,80.25,10.61,3.05,3.15,34,40.5,10
Bruce Brown,Detroit Pistons,Miami (FL),2018,2,42,SG,1,1,194.6,75.5,98.5,81,11.11,3.44,3.2,32.5,38,17
Bruno Fernando,Philadelphia 76ers,Maryland,2019,2,34,C,1,2,237,80.75,110,87.25,11.29,3.05,3.21,29.5,33.5,13
Cameron Payne,Oklahoma City Thunder,Murray State,2015,1,14,PG,2,1,182.8,72.75,97.5,79.25,10.9,2.93,3.28,29.8,35.5,0
Carrick Felix,Cleveland Cavaliers,Arizona State,2013,2,33,SF,1,1,202.6,76.75,103.5,81.25,11.16,3.09,3.25,32,38.5,15
Carsen Edwards,Philadelphia 76ers,Purdue,2019,2,33,PG,2,1,199.4,70.75,94.5,78,10.53,2.82,3.22,28.5,34,14
Chimezie Metu,Milwaukee Bucks,Southern California,2018,2,49,PF,1,2,219.6,80.5,108,84.5,11.89,3.25,3.33,29.5,36,5
CJ McCollum,Portland Trail Blazers,Lehigh,2013,1,10,PG,3,1,197,74.25,96.5,78.25,11.02,2.91,3.32,32,38.5,13
Cody Martin,Charlotte Hornets,North Carolina State,2019,2,36,PG,1,1,192.2,76.75,102.5,82.25,10.44,2.99,3.32,28,35.5,7
Cody Zeller,Charlotte Bobcats,Indiana,2013,1,4,C,1,2,230,82.75,106,82.75,10.82,2.69,3.15,35.5,37.5,17
Colton Iverson,Indiana Pacers,Colorado State,2013,2,53,C,3,2,262.8,82.5,110,86,11.52,3.04,3.52,26.5,30,12
Dakari Johnson,Oklahoma City Thunder,Kentucky,2015,2,48,C,3,2,264.6,83,112,86,11.76,2.94,3.62,22.5,25,4
Damyean Dotson,New York Knicks,Houston,2017,2,44,SG,1,1,205.2,76.5,100,81,11.18,3.03,3.13,31.5,38,13
Daniel Gafford,Chicago Bulls,Arkansas,2019,2,38,PF,2,2,237.6,81.25,110,86.25,11.61,3.19,3.25,32.5,36.5,5
Darius Bazley,Utah Jazz,Princeton,2019,1,23,PF,1,2,208.4,79.75,107,84,11.09,2.95,3.27,30.5,37,4
Davon Reed,Phoenix Suns,Miami (FL),2017,2,32,SG,2,1,206.2,76.5,102,84,11.37,3.21,3.34,28.5,36,12
Delon Wright,Toronto Raptors,Utah,2015,1,20,PG,2,1,181.4,76.25,101.5,79.5,11.16,3.5,3.29,29.5,31,4
Dennis Schroder,Atlanta Hawks,Basketball Lowen Braunschweig (Germany),2013,1,17,PG,1,1,164.8,73,98,79.75,11.09,2.86,3.21,30,34,1
Derrick White,San Antonio Spurs,Colorado,2017,1,29,PG,2,1,189.8,75.25,101.5,79.5,10.84,2.92,3.08,31,36.5,10
Deshaun Thomas,San Antonio Spurs,Ohio State,2013,2,58,SF,3,1,219.8,77,104,82,12.94,3.38,3.53,28.5,32,5
Devin Booker,Phoenix Suns,Kentucky,2015,1,13,SG,3,1,205.8,76.5,102.5,80.25,10.27,2.75,3.28,27.5,34.5,8
Devon Hall,Oklahoma City Thunder,Virginia,2018,2,53,SG,3,1,206.4,76.25,102,79.75,10.95,3.16,3.27,25,31,6
Dewan Hernandez,Toronto Raptors,Miami (FL),2019,2,59,C,2,2,232.8,81,107,85.75,11.46,3.25,3.28,30.5,35.5,13
Dillon Brooks,Houston Rockets,Oregon,2017,2,45,SG,3,1,220.2,77,100.5,78,11.14,3.24,3.21,31,37.5,16
Donovan Mitchell,Denver Nuggets,Louisville,2017,1,13,SG,2,1,211.4,73.25,97,82,11.53,3.07,3.01,36.5,40.5,10
Donte DiVincenzo,Milwaukee Bucks,Villanova,2018,1,17,SG,1,1,200.6,75.5,97.5,78,10.72,3.12,3.11,34.5,42,12
Dwayne Bacon,New Orleans Pelicans,Florida State,2017,2,40,SG,3,1,221.6,76.75,103.5,82,11.7,3.22,3.22,30,36.5,8
Dylan Windler,Cleveland Cavaliers,Belmont,2019,1,26,SF,1,1,195.8,78.25,104.5,82,10.7,2.94,3.3,29,37.5,8
Eric Paschall,Golden State Warriors,Villanova,2019,2,41,SF,2,1,254.4,78,103.5,83.75,11.63,3.26,3.3,33,38,18
Erik Murphy,Chicago Bulls,Florida,2013,2,49,PF,3,2,239.8,80.75,108,82.5,12.19,2.96,3.57,24.5,29.5,13
Frank Jackson,Charlotte Hornets,Duke,2017,2,31,PG,2,1,201.6,74,98,79.5,10.94,2.7,3.14,34.5,42,9
George King,Phoenix Suns,Colorado,2018,2,59,SF,3,1,218.6,76.75,101.5,83.5,10.75,3.08,3.29,31,39,15
Glen Rice,Philadelphia 76ers,Michigan,2013,2,35,SF,3,1,210.8,76.5,101.5,81.25,10.99,3.08,3.25,33,40.5,10
Grant Jerrett,Portland Trail Blazers,Arizona,2013,2,40,PF,3,2,232,80.75,109,86,11.85,3.23,3.51,28.5,34,2
Grant Williams,Boston Celtics,Tennessee,2019,1,22,PF,1,1,240.2,77.75,104.5,81.75,10.83,3.27,3.33,26,31.5,20
Hamidou Diallo,Brooklyn Nets,Kentucky,2018,2,45,SG,1,1,197,76.25,103,83.5,10.53,3.14,3.1,32.5,40.5,1
Ignas Brazdeikis,Sacramento Kings,Michigan,2019,2,47,SF,2,1,220.8,77.75,102,81.25,11.06,3.17,3.36,31,36.5,13
Ike Anigbogu,Indiana Pacers,California-Los Angeles,2017,2,47,C,1,2,252.2,80.5,110.5,90.25,12.52,3.48,3.44,29.5,32.5,11
Isaiah Canaan,Houston Rockets,Murray State,2013,2,34,PG,2,1,188.4,71,94.5,76.5,10.98,2.89,3.22,33,40.5,16
Isaiah Roby,Detroit Pistons,Nebraska,2019,2,45,PF,1,2,214,79.25,106,85,10.63,3.05,3.25,32.5,35.5,9
Ivan Rabb,Orlando Magic,California,2017,2,35,PF,3,2,219.6,80.75,109,85.5,12.68,3.23,3.35,28.5,32.5,3
Jacob Evans,Golden State Warriors,Cincinnati,2018,1,28,SG,2,1,199.6,76.25,102.5,81.25,11.11,3.14,3.2,28,35.5,8
Jalen Brunson,Dallas Mavericks,Villanova,2018,2,33,PG,2,1,198.4,73,96,76,10.59,3.11,3.15,29,37,7
Jalen McDaniels,Charlotte Hornets,San Diego,2019,2,52,SF,2,2,191.6,80.25,105.5,84.25,11.54,3.23,3.32,29.5,33.5,0
Jarell Martin,Memphis Grizzlies,Louisiana State,2015,1,25,PF,3,2,238.6,80,106.5,81,11.2,2.97,3.27,28.5,35,19
Jaron Blossomgame,San Antonio Spurs,Clemson,2017,2,59,SF,2,1,218.6,77.75,104.5,82,11.47,3.35,3.17,31,35.5,16
Jarrett Allen,Brooklyn Nets,Texas,2017,1,22,C,3,2,233.6,81,109.5,89.25,11.82,3,3.21,31.5,35.5,4
Jawun Evans,Philadelphia 76ers,Oklahoma State,2017,2,39,PG,3,1,185.2,70.75,95,77.5,11.34,3.26,3.21,27.5,33.5,1
