record_id,SSM,gender,PreStress,PostStress,StressDif,ps1,ps2,ps3,ps4,ps5,ps6,ps7,ps8,ps9,ps10,psTotal
5,1,2,65,69,4,5,4,4,2,3,4,3,4,5,4,38
6,3,2,62,66,4,3,3,5,2,4,2,3,3,4,4,33
8,2,2,64,42,-22,3,4,4,2,2,3,3,2,4,3,30
10,2,2,75,84,9,4,3,5,2,2,3,2,2,5,5,33
11,1,2,67,60,-7,4,4,4,3,2,3,2,3,4,4,33
12,3,2,89,80,-9,4,5,4,4,4,1,4,4,5,5,40
13,1,2,69,76,7,4,4,4,2,4,4,3,3,4,4,36
14,2,,100,100,0,5,5,5,4,5,5,3,4,4,5,45
15,3,2,21,26,5,2,2,3,4,2,3,2,3,2,3,26
18,3,2,71,81,10,4,4,5,3,4,4,3,3,4,4,38
20,2,2,69,70,1,4,5,5,3,2,4,2,5,5,5,40
21,3,1,61,76,15,3,3,3,3,3,3,3,3,3,3,30
24,3,2,100,82,-18,3,3,5,4,3,4,2,4,4,5,37
26,2,1,34,40,6,3,2,3,2,2,2,2,3,2,1,22
27,3,2,83,84,1,5,5,5,4,4,5,1,4,4,5,42
28,2,2,9,13,4,2,2,4,2,3,2,4,2,2,2,25
