record_id,Athlete,Int. student,academics,athletics,gpa,academics1,academics2,academics3,academics4,academics5,Academics avg 1,athletics1,athletics2,athletics3,athletics4,athletics5,athletics6,Athletics avg1,academics_1,academics_2,academics_3,academics_4,academics_5,academics_6,academics_7,academics_8,academics_9,academics_10,academics_11,academics_12,Academics avg2,athletics_1,athletics_2,athletics_3,athletics_4,athletics_5,athletics_6,athletics_7,athletics_8,athletics_9,athletics_10,athletics_11,athletics_12,athletics 2 avg
1,1,1,100,100,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,1,92,79,3.8,3,4,4,4,3,3.6,4,3,4,5,4,3,3.83,3,4,4,3,2,1,4,3,2,3,2,3,2.83,2,2,3,3,2,2,2,2,2,2,2,3,2.25
3,1,1,100,99,3.97,5,5,4,5,4,4.6,5,5,5,5,5,5,5.00,2,4,3,2,4,1,4,4,2,2,3,1,2.67,1,4,4,2,4,1,4,4,2,1,3,1,2.583333333
7,1,1,100,100,3,5,5,5,5,5,5,5,5,5,5,5,5,5.00,1,1,1,1,1,1,1,1,1,1,1,1,1.00,1,1,1,1,1,1,1,1,1,1,1,1,1
8,1,1,85,88,3.7,5,5,5,5,5,5,4,4,3,5,4,5,4.17,2,4,3,1,4,1,3,4,1,1,2,1,2.25,1,4,5,2,5,1,5,5,1,1,4,1,2.916666667
9,1,0,94,91,3,5,5,,,5,5,5,5,5,5,5,5,5.00,2,2,2,2,2,1,2,2,2,3,2,2,2.00,2,2,2,2,,1,,2,2,2,2,1,1.8
10,1,1,84,89,3.7,4,4,4,4,3,3.8,4,4,4,4,4,4,4.00,2,2,2,2,2,2,2,2,2,2,2,2,2.00,2,2,2,2,2,2,2,2,2,2,2,2,2
11,1,1,100,100,3,3,3,3,4,2,3,5,5,5,5,5,5,5.00,2,2,2,2,4,2,4,3,3,2,4,4,2.83,3,2,4,2,4,2,2,2,2,2,1,1,2.25
12,1,1,82,100,3.7,3,4,3,5,3,3.6,4,5,5,5,4,4,4.50,3,2,2,3,2,3,4,1,2,3,3,3,2.58,1,4,5,3,4,1,2,4,1,1,2,2,2.5
13,1,0,88,96,4,5,5,5,5,5,5,5,5,5,5,5,5,5.00,3,3,3,3,3,3,3,3,3,3,3,3,3.00,,,,,,,,,,,,,
15,1,1,79,100,3.4,3,4,3,4,3,3.4,5,5,5,4,4,5,4.67,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1,0,100,100,3.8,5,5,5,5,5,5,5,5,5,5,5,5,5.00,2,3,2,3,3,3,3,3,1,3,3,2,2.58,1,2,4,1,4,1,4,4,1,1,4,1,2.333333333
18,1,1,99,100,3.89,4,5,3,4,3,3.8,5,5,5,5,4,4,4.67,2,3,4,2,4,1,4,4,1,2,3,2,2.67,1,4,5,2,3,1,5,5,1,1,5,2,2.916666667
19,1,1,62,100,2.8,1,1,1,1,1,1,1,1,1,1,1,1,1.00,1,1,1,1,1,1,1,1,1,1,1,1,1.00,1,1,1,1,1,1,1,1,1,1,1,1,1
20,1,0,98,100,3.45,4,4,3,4,1,3.2,5,5,5,5,5,5,5.00,2,3,4,4,3,2,4,3,2,2,2,2,2.75,1,2,1,4,2,1,2,5,1,1,1,1,1.833333333
