record_id,redcap_survey_identifier,correlation_project_timestamp,consent,gpa,study,hw,hw_2,sup1,sup2,sup3,sup4,mom1,mom2,mom3,mom3R,mom4,mom5,mom6,mom6r,mom7,mom7r,mom8,mom8r,mom9,mom9r,mom10,mom10r,mom11,mom11r,mom12,mom13,mom13r,mom14,mom14r,mom15,mom16,mom17,mom17r,mom18,mom18r,mom19,mom20,mom21,mom22,mom23,mom23r,mom24,mom25,dad1,dad2,dad3,dad3r,dad4,dad5,dad6,dad6r,dad7,dad7r,dad8,dad8r,dad9,dad9r,dad10,dad10r,dad11,dad11r,dad12,dad13,dad14,dad14r,dad15,dad16,dad17,dad17r,dad18,dad18r,dad19,dad20,dad21,dad22,dad23,dad23r,dad24,dad25,famsup,momsup,dadsup
1,,10/18/25 14:05,1,3.9,3,5,100,7,7,7,7,5,5,5,1,5,5,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,10/18/25 14:14,1,3.98,1,5,100,4,4,4,5,2,2,4,2,5,1,2,4,2,4,3,3,3,3,4,2,1,5,4,1,5,5,1,1,1,4,2,2,4,1,2,1,,2,4,3,2,3,2,1,5,2,2,4,2,1,5,1,5,1,5,1,5,1,5,2,4,1,5,1,1,2,4,3,3,1,3,2,4,2,4,2,1,7,3.666666667,3.12
3,,10/18/25 15:08,1,3.96,2,5,98,4,5,5,5,4,4,1,5,5,3,2,4,3,3,3,3,1,5,3,3,4,2,4,4,2,3,3,3,3,2,4,1,5,3,4,3,4,2,4,3,3,4,5,1,5,5,4,4,2,4,2,4,2,1,5,1,5,2,4,4,5,5,1,3,3,1,5,2,4,4,4,4,5,2,4,3,4,4.25,2.666666667,3.84
4,,10/18/25 15:28,1,3.7,3,5,67,4,6,2,4,4,5,1,5,5,4,1,5,5,1,2,4,2,4,3,3,4,2,4,4,2,2,4,4,5,1,5,1,5,4,4,4,5,2,4,5,4,5,5,1,5,5,5,2,4,4,2,1,5,3,3,2,4,4,2,4,4,2,4,4,4,1,5,1,5,3,5,5,5,3,3,4,2,4.75,3.56,4.08
5,,[not completed],1,3.73,2,5,70,3,4,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4.04,
6,,10/18/25 16:57,1,3.4,2,4,100,1,1,1,1,3,1,3,3,2,2,4,2,2,4,4,2,2,4,4,2,4,2,2,3,3,2,4,1,2,5,1,4,2,2,2,2,2,5,1,1,2,1,1,5,1,1,1,5,1,1,5,5,1,1,5,5,1,5,1,1,3,2,4,1,1,5,1,5,1,1,1,1,1,5,1,1,1,4,,1.52
8,,10/18/25 21:25,1,0,2,5,100,5,7,4,3,5,5,3,3,4,2,1,5,3,3,1,5,3,3,4,2,1,5,4,3,3,4,2,2,5,3,3,1,5,1,3,2,5,5,1,5,2,5,5,1,5,5,5,1,5,3,3,1,5,1,5,3,3,1,5,4,4,4,2,2,5,1,5,1,5,4,4,4,5,1,5,4,4,1,2.16,4.32
9,,10/18/25 21:43,1,3,2,4,18,1,1,1,1,1,2,2,4,4,2,1,5,4,2,4,2,5,1,5,1,5,1,2,1,5,5,1,2,2,3,3,4,2,3,4,3,1,5,1,2,2,1,1,5,1,4,1,1,5,1,5,3,3,3,3,5,1,5,1,1,5,1,5,1,1,5,1,5,1,1,1,1,1,5,1,1,1,4.75,3.4,1.92
10,,10/19/25 0:36,1,4,1,5,,7,7,7,7,5,5,1,5,5,5,1,5,5,1,1,5,1,5,3,3,2,4,5,5,1,1,5,5,5,1,5,1,5,5,5,5,5,1,5,5,5,5,5,1,5,5,5,1,5,5,1,1,5,1,5,5,1,1,5,5,5,1,5,5,5,1,5,1,5,5,5,5,5,1,5,5,5,1,2.32,4.68
11,,[not completed],1,3.3,1,4,97,7,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,4.56,
12,,10/19/25 0:53,1,3.9,3,5,100,7,7,7,7,5,5,1,5,5,5,1,5,5,1,1,5,1,5,1,5,1,5,5,5,1,3,3,5,3,1,5,1,5,4,5,5,5,2,4,5,5,4,4,1,5,5,5,2,4,4,2,2,4,1,5,2,4,2,4,4,4,3,3,4,2,2,4,2,4,3,3,3,5,2,4,2,5,7,,3.84
13,,10/19/25 1:19,1,3.3,2,5,100,7,5,6,6,5,5,1,5,5,5,1,5,5,1,1,5,1,5,1,5,2,4,4,4,2,2,4,4,4,1,5,1,5,4,4,4,4,2,4,4,4,4,5,1,5,5,4,2,4,3,3,2,4,2,4,3,3,4,2,4,3,2,4,5,3,1,5,1,5,4,4,4,5,1,5,5,4,7,4.44,4.12
14,,10/19/25 2:16,1,3.3,1,4,95,7,7,7,7,5,5,1,5,5,5,5,1,5,1,1,5,4,2,1,5,4,2,2,3,3,1,5,5,5,1,5,1,5,5,5,5,5,1,5,5,5,5,5,1,5,5,5,1,5,3,3,1,5,4,2,1,5,1,5,5,5,1,5,5,5,1,5,3,3,5,4,4,5,1,5,5,5,6,4.24,4.64
15,,10/19/25 8:14,1,3.9,2,5,68,6,3,3,6,3,4,2,4,2,3,3,3,3,3,4,2,2,4,4,2,5,1,3,3,3,2,4,3,3,3,3,2,4,3,1,2,4,3,3,3,3,3,3,2,4,2,3,3,3,3,3,2,4,2,4,2,4,4,2,3,2,2,4,1,2,2,4,4,2,2,3,2,4,2,4,2,2,7,4.24,2.88
17,,[not completed],1,3,2,5,42,7,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,2.92,
19,,10/19/25 11:09,1,4,2,5,100,6,4,7,6,5,5,1,5,5,4,3,3,4,2,3,3,2,4,1,5,2,4,2,3,3,4,2,4,5,1,5,2,4,4,4,3,5,3,3,5,3,2,4,1,5,2,1,4,2,4,2,4,2,3,3,4,2,3,3,2,3,4,2,2,2,3,3,3,3,2,3,1,5,3,3,1,1,7,,2.44
20,,10/19/25 12:50,1,2.526,3,3,72,4,5,5,5,3,5,1,5,5,3,2,4,5,1,1,5,3,3,4,2,4,2,4,4,2,2,4,3,2,2,4,2,4,3,3,4,5,1,5,3,5,5,5,1,5,5,4,2,4,5,1,1,5,2,4,2,4,4,2,5,4,3,3,5,5,1,5,1,5,5,5,5,5,1,5,5,5,5.75,3.88,4.44
21,,10/19/25 12:57,1,3.45,1,4,100,4,4,4,4,5,5,1,5,5,5,5,1,5,1,5,1,2,4,2,4,4,2,5,4,2,5,1,4,3,2,4,3,3,4,5,3,4,4,2,3,4,5,5,1,5,5,5,5,1,5,1,5,1,5,1,5,1,5,1,5,5,5,1,5,5,5,1,5,1,5,5,5,5,5,1,5,5,4.75,3.56,3.4
22,,10/19/25 12:57,1,,2,5,100,7,7,7,7,5,5,1,5,5,5,1,5,5,1,1,5,3,3,1,5,1,5,5,5,1,1,5,5,5,1,5,1,5,5,5,5,5,1,5,5,5,5,5,1,5,5,5,1,5,5,1,5,1,3,3,1,5,1,5,5,5,1,5,5,5,1,5,1,5,5,5,5,5,1,5,5,5,4,3.4,4.6
23,,10/19/25 13:04,1,3.886,1,5,78,6,6,6,6,4,5,1,5,4,2,2,4,4,2,2,4,2,4,2,4,3,3,3,4,2,3,3,2,3,1,5,1,5,3,3,4,4,2,4,4,3,1,1,3,3,1,1,1,5,1,5,1,5,1,5,1,5,1,5,1,1,1,5,1,1,1,5,1,5,1,1,1,1,1,5,1,1,7,4.6,2.68
