participant_id,avoid_item_1,avoid_item_2,avoid_item_3,avoid_item_4,anx_item_1,anx_item_2,anx_item_3,anx_item_4,age,relationship_status
1,5,4,5,3,5,6,5,5,52,married/partnered
2,4,4,5,5,2,6,5,4,34,single
3,6,4,3,3,3,4,4,5,34,dating
4,2,5,4,3,4,2,4,4,36,married/partnered
5,4,6,5,4,2,5,4,3,19,married/partnered
6,4,7,4,4,3,2,3,2,44,married/partnered
7,6,5,5,5,3,5,4,5,52,married/partnered
8,4,5,3,5,3,3,2,3,25,married/partnered
9,5,3,6,5,5,4,3,3,53,dating
10,5,3,4,5,3,4,3,5,32,dating
11,5,6,6,6,3,4,3,3,34,single
12,5,5,5,3,1,2,2,4,39,dating
13,6,4,4,7,1,5,3,3,30,married/partnered
14,6,6,4,6,5,3,4,5,22,single
15,5,6,7,5,3,2,4,4,19,dating
16,4,4,3,5,6,3,5,5,48,dating
17,6,4,7,6,4,3,3,4,31,married/partnered
18,5,4,6,4,5,3,6,3,51,dating
19,5,6,6,6,5,4,6,5,42,married/partnered
20,6,4,5,5,1,4,4,3,47,dating
21,5,5,4,3,4,1,3,4,51,married/partnered
22,2,2,4,4,1,1,2,1,25,dating
23,4,4,4,5,3,3,3,4,51,married/partnered
24,4,4,4,5,2,5,4,4,51,single
25,3,6,6,5,4,5,6,3,21,married/partnered
26,3,4,6,5,5,5,3,5,21,single
27,5,5,4,5,2,5,2,3,45,prefer_not_to_say
28,7,5,2,7,3,4,5,3,20,dating
29,5,3,6,6,1,2,6,3,25,dating
30,5,4,6,3,3,3,4,3,44,married/partnered
31,4,7,4,7,6,4,2,4,32,married/partnered
32,7,6,6,7,3,3,3,5,33,married/partnered
33,5,3,4,4,5,7,5,4,35,married/partnered
34,6,4,5,5,2,5,4,5,41,single
35,6,6,5,7,5,7,4,7,33,married/partnered
36,4,6,4,4,2,3,2,3,45,single
37,7,4,4,6,4,4,5,2,51,married/partnered
38,5,5,6,6,2,6,4,1,31,dating
39,3,3,4,4,3,6,4,4,23,single
40,6,6,5,4,3,5,5,6,42,dating
41,7,7,6,7,3,2,3,4,42,dating
42,5,4,3,4,2,5,3,2,53,single
43,3,4,5,4,3,3,4,2,39,single
44,7,7,6,7,5,3,3,6,39,married/partnered
45,3,4,6,4,4,2,2,2,46,married/partnered
46,3,3,4,6,2,1,4,4,36,single
47,6,4,5,5,3,3,3,2,38,single
48,4,7,7,7,4,3,3,5,33,dating
49,4,4,5,4,4,5,6,4,21,married/partnered
50,7,3,3,3,3,3,3,2,27,dating
51,6,6,4,5,2,2,2,4,22,single
52,7,5,6,6,4,2,4,2,40,single
53,4,4,4,6,1,4,1,5,52,married/partnered
54,5,4,3,5,4,1,3,4,27,single
55,5,5,4,2,5,2,5,4,43,single
56,6,4,4,7,4,4,3,3,21,married/partnered
57,4,3,6,3,3,6,2,3,48,dating
58,4,5,4,3,6,3,4,4,27,dating
59,5,6,7,6,4,3,4,2,44,married/partnered
60,4,7,3,5,3,2,4,3,53,single
61,4,4,5,4,3,5,3,2,34,dating
62,5,7,7,5,1,1,3,4,33,single
63,7,5,6,5,4,3,3,3,44,married/partnered
64,7,6,4,5,2,6,3,4,26,married/partnered
65,6,6,3,4,5,4,1,2,39,married/partnered
66,4,3,4,5,2,3,3,3,35,married/partnered
67,4,3,6,2,4,5,2,3,19,single
68,7,7,5,5,3,6,4,4,49,married/partnered
69,7,5,5,5,3,3,5,3,27,dating
70,6,5,4,6,3,3,6,4,28,single
71,5,5,5,4,5,4,2,4,27,dating
72,6,5,6,7,3,3,4,3,53,married/partnered
73,5,4,6,5,4,3,3,1,22,dating
74,3,1,6,5,4,5,4,5,34,dating
75,5,6,4,5,3,5,3,4,25,single
76,5,4,4,5,3,2,2,3,39,dating
77,4,5,7,7,3,4,3,4,44,dating
78,6,7,6,4,3,5,4,3,46,single
79,5,5,5,5,5,2,5,4,35,dating
80,5,3,6,5,3,4,2,3,53,single
81,6,5,6,4,5,3,5,5,23,dating
82,6,5,5,6,1,1,2,3,27,single
83,5,5,4,4,3,3,4,1,23,married/partnered
84,4,3,2,4,2,4,4,3,38,single
85,5,7,5,5,3,3,5,2,45,single
86,4,4,6,4,4,2,3,3,36,dating
87,6,5,5,7,4,4,6,5,45,dating
88,6,5,6,6,1,3,5,3,46,dating
89,2,4,6,5,2,3,4,3,25,single
90,4,2,2,3,4,5,6,5,47,dating
91,6,5,5,6,3,2,4,5,54,single
92,7,5,5,7,2,3,5,2,27,married/partnered
93,5,6,5,4,3,4,2,3,26,dating
94,6,6,5,5,3,3,3,3,49,dating
95,4,5,4,4,2,4,4,4,23,dating
96,5,7,6,7,3,2,4,2,34,prefer_not_to_say
97,3,5,3,7,3,3,5,5,36,single
98,5,3,3,5,3,5,5,3,21,single
99,7,5,7,4,4,4,4,2,46,single
100,5,6,5,4,6,5,3,3,49,single
101,5,5,4,5,5,5,3,6,35,single
