ID #,CONVERSING,HEADPHONES,PHONE,LOCATION,Day
1,0,0,2,H ,W
2,0,2,1,H ,W
3,2,0,1,H ,W
4,2,0,2,H ,W
5,1,0,1,H ,W
6,0,0,1,H ,W
7,0,0,2,H ,W
8,0,0,0,H ,W
9,0,0,2,H ,W
10,1,0,0,H ,W
11,0,2,2,H ,W
12,1,0,1,H ,W
13,2,0,0,H ,W
14,0,1,2,H ,W
15,0,0,2,H ,W
16,0,2,2,H ,W
17,1,0,2,H ,W
18,0,2,2,H ,W
19,0,1,2,H ,W
20,1,1,1,H ,W
21,0,2,1,D,W
22,0,0,2,D,W
23,0,2,2,D,W
24,1,0,1,D,W
25,0,0,2,D,W
26,1,0,2,D,W
27,1,1,2,D,W
28,1,0,1,D,W
29,1,1,1,D,W
30,0,0,2,D,W
31,1,0,1,D,W
32,0,0,1,D,W
33,0,0,0,D,W
34,0,2,2,D,W
35,1,0,1,D,W
36,0,1,0,D,W
37,2,0,1,D,W
38,0,1,0,D,W
39,0,0,2,D,W
40,0,0,0,D,W
41,1,1,1,D,T
42,2,0,0,D,T
43,2,0,0,D,T
44,2,0,1,D,T
45,0,1,2,D,T
46,1,0,0,D,T
47,1,1,0,D,T
48,2,0,0,D,T
49,2,0,0,D,T
50,2,0,0,D,T
51,2,0,0,D,T
52,0,2,1,D,T
53,1,1,1,D,T
54,1,1,1,D,T
55,2,1,2,D,T
56,0,0,2,D,T
57,2,2,2,D,T
58,0,2,1,D,T
59,2,2,2,D,T
60,1,2,2,D,T
61,1,0,0,H ,T
62,1,0,1,H ,T
63,1,0,1,H ,T
64,1,0,1,H ,T
65,2,1,1,H ,T
66,2,0,0,H ,T
67,2,0,0,H ,T
68,2,0,0,H ,T
69,2,0,0,H ,T
70,1,0,0,H ,T
71,1,1,1,H ,T
72,1,0,1,H ,T
73,1,1,1,H ,T
74,1,0,1,H ,T
75,2,0,1,H ,T
76,2,0,0,H ,T
77,1,0,1,H ,T
78,1,0,0,H ,T
79,0,1,1,H ,T
80,0,1,1,H ,T
